input,block1,block2,block3,kpack,matrix_instr_nonkdim,num_stages,num_warps,waves_per_eu,timing
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],32,128,32,2,0,2,4,0,0.24428200721740723
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],32,128,32,2,16,2,4,0,0.17610099911689758
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],32,32,64,2,0,2,8,0,0.33401501178741455
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],32,32,64,2,16,2,8,0,0.16456399857997894
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,32,32,2,0,2,8,0,0.20955100655555725
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,32,32,2,16,2,8,0,0.16031800210475922
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,128,32,2,0,2,4,0,0.12838999927043915
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,128,32,2,16,2,4,0,0.13351799547672272
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,16,64,2,0,2,4,0,0.20530399680137634
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,16,64,2,16,2,4,0,0.2155199944972992
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,32,64,2,0,2,4,0,0.12382400035858154
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,32,64,2,16,2,4,0,0.14261099696159363
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,64,64,2,0,2,8,0,0.12238100171089172
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,64,64,2,16,2,8,0,0.12366300076246262
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,128,64,2,0,2,4,0,0.09337899833917618
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,128,64,2,16,2,4,0,0.11689399927854538
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,32,128,2,0,2,4,0,0.14810000360012054
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,32,128,2,16,2,4,0,0.17978699505329132
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,32,128,2,0,2,8,0,0.11424999684095383
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,32,128,2,16,2,8,0,0.1636430025100708
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,64,128,2,0,2,4,0,0.12955200672149658
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,64,128,2,16,2,4,0,0.1674090027809143
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,128,128,2,0,2,4,0,0.1333180069923401
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,128,128,2,16,2,4,0,0.1737380027770996
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,32,64,2,0,2,4,0,0.13996799290180206
