kernel_name,size_hints,fastest_us,config
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 1024}",8.2,XBLOCK=1024 YBLOCK=1 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 16384}",7.801,XBLOCK=64 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 4096}",8.64,XBLOCK=128 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 16, 'x': 256}",6.72,XBLOCK=256 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 4096}",9.121,XBLOCK=64 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 65536}",41.041,XBLOCK=32 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 32, 'x': 1024}",8.08,XBLOCK=256 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 16384}",22.28,XBLOCK=32 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 2048}",7.0,XBLOCK=128 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 4096}",8.321,XBLOCK=16 YBLOCK=256 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 1024}",7.68,XBLOCK=256 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 4096}",7.6,XBLOCK=32 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 1024, 'x': 1024}",7.48,XBLOCK=256 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 128, 'x': 128}",6.56,XBLOCK=32 YBLOCK=128 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 2048, 'x': 2048}",13.56,XBLOCK=64 YBLOCK=64 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 4096, 'x': 4096}",43.641,XBLOCK=128 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 512, 'x': 512}",7.68,XBLOCK=64 YBLOCK=32 num_warps=4
