kernel_name,size_hints,a_us,b_us,speedup_BoverA,a_config,b_config,config_changed
triton_red_fused_var_5,"{'x': 32, 'r0_': 8192}",20.28,18.401,1.1021,XBLOCK=1 R0_BLOCK=8192 num_warps=8,XBLOCK=1 R0_BLOCK=8192 num_warps=8,no
triton_red_fused_add_div_exp_mul_sub_sum_2,"{'x': 128, 'r0_': 8192}",23.76,21.56,1.102,XBLOCK=2 R0_BLOCK=4096 num_warps=4,XBLOCK=2 R0_BLOCK=4096 num_warps=8,yes
triton_red_fused_add_div_mean_mul_var_4,"{'x': 128, 'r0_': 8192}",26.161,23.8,1.0992,XBLOCK=2 R0_BLOCK=4096 num_warps=4,XBLOCK=2 R0_BLOCK=4096 num_warps=8,yes
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 512}",19.92,18.161,1.0969,XBLOCK=1 waves_per_eu=2 num_warps=4,XBLOCK=1 waves_per_eu=2 num_warps=4,no
triton_poi_fused_add_relu_0,{'x': 4194304},25.56,23.4,1.0923,XBLOCK=256 num_warps=2,XBLOCK=4096 num_warps=8,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 128, 'x': 128}",22.441,20.56,1.0915,XBLOCK=8 YBLOCK=32 num_warps=1,XBLOCK=32 YBLOCK=16 num_warps=8,yes
triton_poi_fused_leaky_relu_0,{'x': 4194304},22.2,20.36,1.0904,XBLOCK=1024 num_warps=8,XBLOCK=2048 num_warps=8,yes
triton_red_fused_add_div_exp_mul_sub_sum_2,"{'x': 8, 'r0_': 8192}",20.8,19.08,1.0901,XBLOCK=1 R0_BLOCK=8192 num_warps=8,XBLOCK=1 R0_BLOCK=8192 num_warps=8,no
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 32768},20.08,18.44,1.0889,XBLOCK=256 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_add_0,{'x': 131072},20.32,18.681,1.0877,XBLOCK=128 num_warps=1,XBLOCK=2048 num_warps=8,yes
triton_per_fused_mean_1,"{'x': 1, 'r0_': 128}",19.881,18.28,1.0876,XBLOCK=1 num_warps=2,XBLOCK=1 waves_per_eu=2 num_warps=1,yes
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 1024, 'r0_': 1024}",21.56,19.84,1.0867,XBLOCK=1 waves_per_eu=2 num_warps=2,XBLOCK=1 num_warps=4,yes
triton_poi_fused_silu_0,{'x': 8388608},26.921,24.8,1.0855,XBLOCK=2048 num_warps=8,XBLOCK=2048 num_warps=8,no
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 128}",19.92,18.401,1.0825,XBLOCK=1 num_warps=1,XBLOCK=1 waves_per_eu=2 num_warps=2,yes
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 16384}",39.201,36.321,1.0793,XBLOCK=64 YBLOCK=256 num_warps=4,XBLOCK=64 YBLOCK=64 num_warps=8,yes
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 1048576},21.401,19.84,1.0787,XBLOCK=128 num_warps=2,XBLOCK=256 num_warps=4,yes
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 4, 'r0_': 8192}",27.96,25.921,1.0787,XBLOCK=1 R0_BLOCK=8192 num_warps=8,XBLOCK=1 R0_BLOCK=8192 waves_per_eu=2 num_warps=8,yes
triton_poi_fused_add_relu_0,{'x': 16384},19.761,18.321,1.0786,XBLOCK=1024 num_warps=2,XBLOCK=64 num_warps=1,yes
triton_poi_fused_leaky_relu_0,{'x': 4096},19.84,18.4,1.0783,XBLOCK=2048 num_warps=8,XBLOCK=64 num_warps=1,yes
triton_per_fused_var_6,"{'x': 1, 'r0_': 512}",20.001,18.56,1.0776,XBLOCK=1 waves_per_eu=2 num_warps=4,XBLOCK=1 num_warps=2,yes
triton_poi_fused_add_relu_0,{'x': 131072},20.12,18.68,1.0771,XBLOCK=512 num_warps=8,XBLOCK=128 num_warps=2,yes
triton_poi_fused_silu_0,{'x': 131072},20.161,18.761,1.0746,XBLOCK=512 num_warps=8,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 4096, 'x': 4096}",60.722,56.522,1.0743,XBLOCK=128 YBLOCK=128 num_warps=4,XBLOCK=64 YBLOCK=32 num_warps=8,yes
triton_poi_fused_add_relu_0,{'x': 1048576},20.361,18.961,1.0738,XBLOCK=256 num_warps=2,XBLOCK=512 num_warps=8,yes
