kernel_name,size_hints,fastest_us,config
triton_poi_fused_add_relu_0,{'x': 4194304},25.56,XBLOCK=256 num_warps=2
triton_poi_fused_add_relu_0,{'x': 512},20.2,XBLOCK=512 num_warps=4
triton_poi_fused_add_relu_0,{'x': 65536},19.921,XBLOCK=4096 num_warps=8
triton_poi_fused_add_relu_0,{'x': 67108864},148.205,XBLOCK=256 num_warps=2
triton_poi_fused_add_relu_0,{'x': 8388608},29.681,XBLOCK=2048 num_warps=4
triton_poi_fused_gelu_0,{'x': 1048576},20.32,XBLOCK=256 num_warps=2
triton_poi_fused_gelu_0,{'x': 131072},20.201,XBLOCK=512 num_warps=8
triton_poi_fused_gelu_0,{'x': 16384},20.24,XBLOCK=2048 num_warps=4
triton_poi_fused_gelu_0,{'x': 16777216},38.001,XBLOCK=2048 num_warps=8
triton_poi_fused_gelu_0,{'x': 2097152},20.52,XBLOCK=1024 num_warps=8
triton_poi_fused_gelu_0,{'x': 262144},19.96,XBLOCK=256 num_warps=4
triton_poi_fused_gelu_0,{'x': 32768},19.88,XBLOCK=256 num_warps=4
triton_poi_fused_gelu_0,{'x': 4096},19.881,XBLOCK=64 num_warps=1
triton_poi_fused_gelu_0,{'x': 4194304},24.0,XBLOCK=1024 num_warps=8
triton_poi_fused_gelu_0,{'x': 512},19.881,XBLOCK=256 num_warps=2
triton_poi_fused_gelu_0,{'x': 65536},19.801,XBLOCK=64 num_warps=1
triton_poi_fused_gelu_0,{'x': 67108864},108.163,XBLOCK=2048 num_warps=8
triton_poi_fused_gelu_0,{'x': 8388608},27.76,XBLOCK=2048 num_warps=4
triton_poi_fused_leaky_relu_0,{'x': 1048576},20.201,XBLOCK=128 num_warps=1
triton_poi_fused_leaky_relu_0,{'x': 131072},20.201,XBLOCK=1024 num_warps=8
triton_poi_fused_leaky_relu_0,{'x': 16384},19.84,XBLOCK=1024 num_warps=2
triton_poi_fused_leaky_relu_0,{'x': 16777216},36.041,XBLOCK=2048 num_warps=8
